drug_a_uM,drug_b_uM,observed_inhibition
0.0,0.0,0.07481393217657777
0.0,0.01,0.144359831854101
0.0,0.03,0.1856405653664573
0.0,0.1,0.3982562744900874
0.0,0.3,0.6604449306453409
0.0,1.0,0.8292710324092784
0.03,0.0,0.11677105167434014
0.03,0.01,0.1619519626370043
0.03,0.03,0.2356463912702243
0.03,0.1,0.42566588510803455
0.03,0.3,0.6503679657376881
0.03,1.0,0.8618591745935339
0.1,0.0,0.18981894044828404
0.1,0.01,0.22027038407174337
0.1,0.03,0.30922786881413034
0.1,0.1,0.5018233928201468
0.1,0.3,0.7699193350017526
0.1,1.0,0.8922723814435934
0.3,0.0,0.4037547466497429
0.3,0.01,0.4280763267502347
0.3,0.03,0.4386935916523036
0.3,0.1,0.6247451532349299
0.3,0.3,0.8056137104534077
0.3,1.0,0.98
1.0,0.0,0.6806073713276656
1.0,0.01,0.7103381239390864
1.0,0.03,0.7321583574740668
1.0,0.1,0.7777224557077204
1.0,0.3,0.9304165450052172
1.0,1.0,0.98
3.0,0.0,0.8743349749965318
3.0,0.01,0.8387529197196888
3.0,0.03,0.9086069017370391
3.0,0.1,0.8680117318200402
3.0,0.3,0.9565259265193528
3.0,1.0,0.98
