cell_line,compound,concentration_uM,replicate,viability_percent
PANC-1,ExampleCompoundA,0.001,1,101.97445097377776
PANC-1,ExampleCompoundA,0.001,2,99.4345371570481
PANC-1,ExampleCompoundA,0.001,3,102.5783485141356
PANC-1,ExampleCompoundA,0.003,1,106.04577290110196
PANC-1,ExampleCompoundA,0.003,2,99.01703997657651
PANC-1,ExampleCompoundA,0.003,3,99.01710564767313
PANC-1,ExampleCompoundA,0.01,1,106.12059666717957
PANC-1,ExampleCompoundA,0.01,2,102.87348432176165
PANC-1,ExampleCompoundA,0.01,3,97.9258478614102
PANC-1,ExampleCompoundA,0.03,1,101.44071780869092
PANC-1,ExampleCompoundA,0.03,2,97.41680686309721
PANC-1,ExampleCompoundA,0.03,3,97.40755862006603
PANC-1,ExampleCompoundA,0.1,1,97.94549980253082
PANC-1,ExampleCompoundA,0.1,2,89.32452973763549
PANC-1,ExampleCompoundA,0.1,3,90.07797938621455
PANC-1,ExampleCompoundA,0.3,1,87.3187681711001
PANC-1,ExampleCompoundA,0.3,2,85.51659380672629
PANC-1,ExampleCompoundA,0.3,3,90.82490761844508
PANC-1,ExampleCompoundA,1.0,1,63.305057549214396
PANC-1,ExampleCompoundA,1.0,2,61.287939045958076
PANC-1,ExampleCompoundA,1.0,3,72.79974892698546
PANC-1,ExampleCompoundA,3.0,1,34.23462179603538
PANC-1,ExampleCompoundA,3.0,2,35.407839816733215
PANC-1,ExampleCompoundA,3.0,3,29.43873425312769
PANC-1,ExampleCompoundA,10.0,1,9.149550219482933
PANC-1,ExampleCompoundA,10.0,2,11.770771476423128
PANC-1,ExampleCompoundA,10.0,3,6.723106807894452
PANC-1,ExampleCompoundA,30.0,1,4.8078954945241055
PANC-1,ExampleCompoundA,30.0,2,0.9025486614661973
PANC-1,ExampleCompoundA,30.0,3,2.13832842196831
MIA PaCa-2,ExampleCompoundA,0.001,1,97.51903057104644
MIA PaCa-2,ExampleCompoundA,0.001,2,107.33496975799977
MIA PaCa-2,ExampleCompoundA,0.001,3,99.8718681210123
MIA PaCa-2,ExampleCompoundA,0.003,1,95.52132969309922
MIA PaCa-2,ExampleCompoundA,0.003,2,103.04235305733557
MIA PaCa-2,ExampleCompoundA,0.003,3,94.86879880903872
MIA PaCa-2,ExampleCompoundA,0.01,1,99.91000162561991
MIA PaCa-2,ExampleCompoundA,0.01,2,91.2358667500818
MIA PaCa-2,ExampleCompoundA,0.01,3,93.76180305000717
MIA PaCa-2,ExampleCompoundA,0.03,1,97.75460011606904
MIA PaCa-2,ExampleCompoundA,0.03,2,99.9210214925742
MIA PaCa-2,ExampleCompoundA,0.03,3,97.65262829735244
MIA PaCa-2,ExampleCompoundA,0.1,1,89.01518733482219
MIA PaCa-2,ExampleCompoundA,0.1,2,88.27336568201798
MIA PaCa-2,ExampleCompoundA,0.1,3,83.56369250290544
MIA PaCa-2,ExampleCompoundA,0.3,1,68.86927015340252
MIA PaCa-2,ExampleCompoundA,0.3,2,69.90609190314221
MIA PaCa-2,ExampleCompoundA,0.3,3,75.97713589185702
MIA PaCa-2,ExampleCompoundA,1.0,1,41.689826535284936
MIA PaCa-2,ExampleCompoundA,1.0,2,33.263192755560155
MIA PaCa-2,ExampleCompoundA,1.0,3,41.611689254590274
MIA PaCa-2,ExampleCompoundA,3.0,1,15.246431345642208
MIA PaCa-2,ExampleCompoundA,3.0,2,14.07907246608364
MIA PaCa-2,ExampleCompoundA,3.0,3,19.233465622670945
MIA PaCa-2,ExampleCompoundA,10.0,1,9.216245917354225
MIA PaCa-2,ExampleCompoundA,10.0,2,8.817368303835217
MIA PaCa-2,ExampleCompoundA,10.0,3,1.7353777344798673
MIA PaCa-2,ExampleCompoundA,30.0,1,0.3402912041045789
